sku;nombre_en_defontana;bodega;stock_defontana;reservado;por_recibir
NITTOPXS;NITRILO TOP GLOVE TALLA XS C/P;BODEGACENTRAL;0;0;0
NITTRESM;NITRILO TRESOR AZUL M;BODEGACENTRAL;0;0;0
NYLON003;NYLON AZUL 3/0 DS 25;BODEGACENTRAL;0;0;0
PPROFIL001;PASTA PROFILACTICA DETARTRINE;BODEGACENTRAL;0;0;0
PROMO003;10 PAQUETES DE EYECTORES DE SALIVA;BODEGACENTRAL;0;0;0
RESFORMA014;ULTRA-ETCH INDISPENCE 1,2ML;BODEGACENTRAL;0;0;0
SILIC004;SILICONA POR ADICION EXPRESS PUTTY SOFT 3M;BODEGACENTRAL;0;0;0
SUERO250-A;CLORURO DE SODIO 0,9% 250ML BPH;BODEGACENTRAL;0;0;0
SUTURA0031;SEDA NEGRA 3/0 HS25;BODEGACENTRAL;0;0;0
TIRANER001;TIRA NERVIOS 1-6 (SURTIDOS) 25MM;BODEGACENTRAL;0;0;0
TIRANER002;TIRANERVIO 21MM NUMERO 2 COLOR AMARILLO;BODEGACENTRAL;0;0;0
TIRANER003;TIRANERVIO 21MM NUMERO 3 COLOR ROJO;BODEGACENTRAL;0;0;0
ULTRADENT008;OPALESCENCE BOOST PF 40% 1 JER + 1 OPALDAM;BODEGACENTRAL;0;0;0
VINTPCPM;VINILO TOP GLOVE M CP;BODEGACENTRAL;0;0;0
VINTPCPXS;VINILO TOP GLOVE XS CP;BODEGACENTRAL;0;0;0
VINTPLPM;VINILO TOP GLOVE M LP;BODEGACENTRAL;0;0;0
VINTPLPXS;VINILO TOP GLOVE XS LP;BODEGACENTRAL;0;0;0
VOCO001;PROFLUORID VARNISH SD MELON 100 UNIDADES;BODEGACENTRAL;0;0;0
VOCO015;PROFLUORID VARNISH MELON TUBO;BODEGACENTRAL;0;0;0
gomadique004;GOMA DIQUE AZUL SANCTUARY 5x5;BODEGACENTRAL;0;0;0
